Mobile Name,RAM GB,ROM GB,Ratings,Reviews,Stars,List Price,Sales Price
Grabo G312,64 MB,64 MB,2409,195,3.6,1250,689
Kechaoda K28,32 MB,64 MB,1417,129,4.1,1175,1089
Kechaoda K28,32 MB,64 MB,1417,129,4.1,14470,1125
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",4 GB,128 GB,18211,1299,4.4,919,14338
BlackZone TURBO 353,64 MB,64 MB,188,14,4,13999,849
"Tecno Camon 16 (Purist Blue, 64 GB)",4 GB,64 GB,3888,392,4.3,13999,11499
"Tecno Camon 16 (Cloud White, 64 GB)",4 GB,64 GB,3888,392,4.3,29999,11499
KARBONN K310n,32 MB,32 MB,2365,316,3.8,34999,729
LAVA A5,32 MB,24 MB,5160,518,4.1,29999,1296
"realme X3 SuperZoom (Arctic White, 128 GB)",8 GB,128 GB,6892,770,4.4,,27999
"realme X3 SuperZoom (Glacier Blue, 256 GB)",12 GB,256 GB,2004,252,4.3,,32999
"realme X3 SuperZoom (Glacier Blue, 128 GB)",8 GB,128 GB,6892,770,4.4,,27999
"SAMSUNG Galaxy A12 (White, 64 GB)",4 GB,64 GB,358,31,4.2,13999,12999
KARBONN K310n,32 MB,32 MB,2363,315,3.8,1320,729
KARBONN KX1Indian,32 MB,32 MB,241,19,4,14380,799
Micromax X752,32 MB,32 MB,73,13,4.3,10990,1290
"Redmi Note 9 (Scarlet Red, 128 GB)",4 GB,128 GB,17411,1304,4.3,18790,14350
"OPPO A11K (Deep Blue, 32 GB)",2 GB,32 GB,5033,396,4.2,860,8490
"Redmi Note 9 Pro Max (Glacier White, 64 GB)",6 GB,64 GB,23336,1884,4.4,1349,16990
Kechaoda K10,32 MB,32 MB,8527,616,4,1099,847
Micromax X512,56 MB,24 MB,5924,564,3.9,30990,945
Kechaoda K30,32 MB,32 MB,388,20,4,30990,1049
"OPPO A52 (Stream White, 128 GB)",8 GB,128 GB,120,11,4.3,5999,18888
"ViVO Y91i (Fusion Black, 16 GB)",2 GB,16 GB,38282,2745,4.3,13999,8199
"ViVO Y91i (Ocean Blue, 16 GB)",2 GB,16 GB,38282,2745,4.3,8499,8950
BlackZone S13,32 MB,32 MB,35,3,4.3,18699,1029
"ViVO V20 2021 (Midnight Jazz, 256 GB)",8 GB,256 GB,1468,156,4.4,6499,27990
"ViVO V20 2021 (Sunset Melody, 256 GB)",8 GB,256 GB,1468,156,4.4,739,27990
"Redmi Go (Black, 8 GB)",1 GB,8 GB,165953,13261,4.3,14999,4499
"SAMSUNG Galaxy A12 (Black, 64 GB)",4 GB,64 GB,358,31,4.2,13999,12999
"LAVA Z66 (Midnight Blue, 32 GB)",3 GB,32 GB,3630,538,4,,7227
"Redmi Note 9 Pro Max (Champagne Gold, 128 GB)",6 GB,128 GB,23336,1884,4.4,,18345
"LAVA Z61 Pro (Champagne Gold, 16 GB)",2 GB,16 GB,2925,358,4,,5277
ANGAGE A310,64 MB,64 MB,119,11,3.4,,669
"SAMSUNG Galaxy A12 (White, 128 GB)",4 GB,128 GB,358,31,4.2,,13999
"Tecno POVA (Speed Purple, 128 GB)",6 GB,128 GB,926,102,4.2,,12499
Micromax X744,32 MB,32 MB,8802,929,3.9,15990,1429
"ViVO Z1Pro (Sonic Blue, 64 GB)",4 GB,64 GB,354393,35383,4.5,1849,14990
LAVA A9,24 MB,32 MB,2136,230,4.1,1849,1519
LAVA A9,24 MB,32 MB,2136,230,4.1,1849,1519
LAVA A9,24 MB,32 MB,2136,230,4.1,25999,1519
"SAMSUNG Galaxy A51 (Prism Crush Blue, 128 GB)",6 GB,128 GB,8708,1039,4.3,1079,20999
I Kall K 444,32 MB,64 MB,2931,257,3.8,6099,1049
"Itel A48 (Gradation Black, 32 GB)",2 GB,32 GB,195,16,3.9,5999,5990
"Itel A48 (Gradation Green, 32 GB)",2 GB,32 GB,195,16,3.9,12990,5990
Micromax X749,32 MB,32 MB,2398,299,4.1,5299,1225
Micromax X749,32 MB,32 MB,2398,299,4.1,1182,1210
"Redmi Note 8 (Neptune Blue, 64 GB)",4 GB,64 GB,49486,3632,4.4,957,12644
"GIONEE F8 Neo (Black, 32 GB)",2 GB,32 GB,431,37,3.9,13461,5099
"GIONEE F8 Neo (Blue, 32 GB)",2 GB,32 GB,431,37,3.9,,5099
Micromax X809,32 MB,32 MB,1743,145,3.9,,1180
Kechaoda K33,32 MB,32 MB,4305,339,4.1,,940
Kechaoda K33,32 MB,32 MB,4305,339,4.1,,945
Kechaoda K33,32 MB,32 MB,4305,339,4.1,,954
Kechaoda K33,32 MB,32 MB,4305,339,4.1,,945
"OPPO A31 (Lake Green, 64 GB)",4 GB,64 GB,18526,1285,4.3,,11988
KARBONN K9,,,5681,519,4.1,,1248
Forme Rocket,12 MB,15 MB,159,20,3.9,,799
"Redmi Note 9 (Aqua Green, 128 GB)",4 GB,128 GB,17411,1304,4.3,,13211
GFive i1,32 MB,32 MB,20,9,4,,749
Good One Magic,32 MB,32 MB,2036,175,4,929,1499
Good One Magic,32 MB,32 MB,2036,175,4,1412,1499
Good One Magic,32 MB,32 MB,2036,175,4,1485,1499
I Kall K 38 Plus,32 MB,64 MB,392,38,3.7,17999,899
Kechaoda K6,50 MB,50 MB,1222,131,3.9,919,870
Nokia 105 DS 2020,4 MB,4 MB,11513,915,4.2,894,1322
Itel Muzik 400,4 MB,4 MB,1251,144,4.1,25990,1479
"Redmi Note 9 Pro (Glacier White, 128 GB)",4 GB,128 GB,18180,1294,4.4,25990,14598
BlackZone TURBO 353,64 MB,64 MB,187,14,4,789,849
Micromax X381,32 MB,32 MB,939,79,4,20990,848
"OPPO F17 Pro (Matte Black, 128 GB)",8 GB,128 GB,7382,561,4.4,899,21490
"OPPO F17 Pro (Metallic White, 128 GB)",8 GB,128 GB,7382,561,4.4,,21490
Micromax J1,32 MB,32 MB,7,0,4.6,,799
"Ismart i1 Supreme (Black, 32 GB)",2 GB,32 GB,155,7,2.9,,5190
Tork T13 Banana,32 MB,32 MB,501,42,4,,849
Tork T13 Banana,32 MB,32 MB,501,42,4,,799
Tork T13 Banana,32 MB,32 MB,501,42,4,,799
Itel IT2173,4 MB,4 MB,96,10,4.1,,899
KARBONN K310n,32 MB,32 MB,2363,315,3.8,,799
Grabo HULK,64 MB,64 MB,373,30,3.5,,719
KARBONN KX1Indian,32 MB,32 MB,241,19,4,,825
Snexian Rock,32 MB,32 MB,8520,572,4,,1349
"OPPO A52 (Twilight Black, 128 GB)",8 GB,128 GB,120,11,4.3,,18990
KARBONN KX1 Indian,32 MB,32 MB,26,2,4.1,,885
KARBONN K140 Pop,32 MB,32 MB,3773,354,3.9,932,865
"Redmi Note 10 Pro Max (Glacial Blue, 128 GB)",6 GB,128 GB,5924,564,3.9,1499,21900
"Redmi Note 10 Pro Max (Vintage Bronze, 128 GB)",6 GB,128 GB,2143,229,3.9,17990,21900
"Redmi Note 10 Pro Max (Dark Night, 128 GB)",6 GB,128 GB,158590,15565,4.5,759,21900
Micromax X512,56 MB,24 MB,1030,82,3.7,19999,921
Micromax X388,32 MB,32 MB,112,11,3.8,54900,1060
"ViVO Z1Pro (Sonic Black, 64 GB)",6 GB,64 GB,240643,28836,4.3,6999,15990
Grabo G310 Vibration,64 MB,64 MB,36305,2815,4.6,1250,689
LAVA Hero 600s,4 MB,3 MB,19430,1646,4,9999,790
"SAMSUNG Galaxy F41 (Fusion Blue, 64 GB)",6 GB,64 GB,9,0,4,6499,15999
"APPLE iPhone 11 (Yellow, 64 GB)",,64 GB,2784,194,4,9999,46999
Kechaoda K66 Plus,32 MB,64 MB,1417,129,4.1,59900,1199
"Itel vision 1 pro (AURORA BLUE, 32 GB)",2 GB,32 GB,16934,1272,4.2,15999,6550
Nokia 125 DS 2020,4 MB,4 MB,2925,358,4,15999,1999
Kechaoda K28,32 MB,64 MB,61,5,4.1,,1089
"SAMSUNG Galaxy M01 (Blue, 32 GB)",3 GB,32 GB,61,5,4.1,,7931
"LAVA Z61 Pro (Lavender Blue, 16 GB)",2 GB,16 GB,292,42,4.1,,5277
Kechaoda K 06,32 MB,64 MB,2143,229,3.9,,1099
Kechaoda K 06,32 MB,64 MB,36305,2815,4.6,,1099
"GIONEE Max Pro (Blue, 32 GB)",3 GB,32 GB,1332,77,4.4,,6999
Micromax X388,32 MB,32 MB,1332,77,4.4,,949
"APPLE iPhone 11 (Red, 128 GB)",,128 GB,,,4.3,,53999
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",6 GB,128 GB,,,5,,14999
"Redmi Note 9 Pro (Aurora Blue, 128 GB)",6 GB,128 GB,,,4,,14999
Micromax X1i-2017,,32 MB,1937,217,3.8,1399,849
Micromax X1i-2017,,32 MB,1691,214,3.8,1289,989
LAVA Hero 600+,4 MB,3 MB,790,70,4.2,1648,859
"Infinix S5 Pro (Violet, 64 GB)",4 GB,64 GB,29808,2912,4.4,1490,12999
"Infinix S5 Pro (Forest Green, 64 GB)",4 GB,64 GB,29808,2912,4.4,894,12999
"Infinix S5 Pro (Sea Blue, 64 GB)",4 GB,64 GB,29808,2912,4.4,4399,12999
Itel Power 400,32 MB,32 MB,2391,239,4.1,780,1248
Snexian BOLD 511,32 MB,32 MB,80,8,3.7,20500,999
Kechaoda K60,32 MB,32 MB,1089,107,4,21990,1499
KARBONN K19 Rock,32 MB,32 MB,2480,222,3.9,860,894
KARBONN KX23,32 MB,32 MB,1383,110,4,,1149
"realme 6 Pro (Lightning Blue, 128 GB)",8 GB,128 GB,29804,3507,4.4,,19999
Itel IT 2163,32 MB,32 MB,3304,311,4,,880
Nokia 3310 DS 2020,,16 MB,29811,3243,3.8,,3589
Itel IT2173,4 MB,4 MB,98,10,4.1,,949
Itel IT2173,4 MB,4 MB,98,10,4.1,,929
DETEL D1 Guru,32 MB,32 MB,7580,739,3.6,,760
"Mi A2 (Red, 128 GB)",6 GB,128 GB,3064,280,4.1,,13999
"ViVO Y51 (Crystal Symphony, 128 GB)",8 GB,128 GB,2882,220,4.3,,17990
Micromax X382,32 MB,32 MB,178,12,4,,857
"Redmi 8A Dual (Sky White, 32 GB)",3 GB,32 GB,12901,866,4.2,,8999
Itel Power 410,4 MB,4 MB,32,3,4.2,,1259
Itel Power 410,4 MB,4 MB,32,3,4.2,,1249
Kechaoda K10,32 MB,32 MB,8531,617,4,,847
"OPPO A11K (Flowing Silver, 32 GB)",2 GB,32 GB,5034,396,4.2,10990,8490
"realme 3i (Diamond Black, 32 GB)",3 GB,32 GB,296035,26267,4.4,8999,8499
"realme 6i (Eclipse Black, 64 GB)",6 GB,64 GB,80238,7369,4.4,15999,13999
I Kall K 18 NEW,32 MB,64 MB,1836,194,3.7,1099,1049
"OPPO A31 (Lake Green, 128 GB)",6 GB,128 GB,21011,1330,4.3,25999,14990
"OPPO A31 (Fantasy White, 64 GB)",4 GB,64 GB,18532,1285,4.3,12999,11848
"SAMSUNG Galaxy A51 (Prism Crush Black, 128 GB)",6 GB,128 GB,8719,1039,4.3,11999,20999
"realme 3 (Diamond Red, 64 GB)",4 GB,64 GB,171675,16639,4.4,10999,9499
"realme 3 (Radiant Blue, 64 GB)",3 GB,64 GB,451638,44037,4.5,12999,9499
"realme 3 (Radiant Blue, 32 GB)",3 GB,32 GB,451638,44037,4.5,10999,8499
"realme 3 (Dynamic Black, 64 GB)",4 GB,64 GB,171675,16639,4.4,8499,10499
"realme 3 (Diamond Red, 32 GB)",3 GB,32 GB,451638,44037,4.5,12758,8499
"SAMSUNG Galaxy M02 (Gray, 32 GB)",3 GB,32 GB,105,13,4,11499,8184
"Redmi 9 Power (Mighty Black, 128 GB)",4 GB,128 GB,3873,307,4.3,1499,12299
"Nokia 2.4 (Fjord Blue, 64 GB)",3 GB,64 GB,442,46,4.1,8499,10399
Micromax X380,32 MB,32 MB,10408,1190,3.9,20990,1050
"LAVA Z66 (Berry Red, 32 GB)",3 GB,32 GB,3639,539,4,1249,7227
"ViVO Z1Pro (Sonic Blue, 128 GB)",6 GB,128 GB,158599,15565,4.5,9999,17990
GFive A2 Combo of Two,32 MB,32 MB,313,30,3.7,,1239
BlackBear i7 Trio,24 MB,24 MB,122,10,3.9,,1699
KARBONN K9 Mini,32 MB,32 MB,1192,70,3.8,,889
Kechaoda K-9,64 MB,64 MB,806,99,4,,1120
"SAMSUNG M02s (Blue, 32 GB)",3 GB,32 GB,89,3,4.1,,9323
"Redmi 9 Prime (Sunrise Flare, 128 GB)",4 GB,128 GB,71603,4834,4.4,,11849
Micromax X748,32 MB,32 MB,1309,149,4.1,990,1339
KARBONN K140 Pop,32 MB,32 MB,3775,355,3.9,20990,799
Itel Magic2 Max,8 MB,8 MB,113,10,4.1,20990,1418
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",4 GB,128 GB,18211,1299,4.4,799,15999
"OPPO F17 (Classic Silver, 128 GB)",6 GB,128 GB,4491,356,4.2,660,16990
"OPPO F17 (Navy Blue, 128 GB)",6 GB,128 GB,4491,356,4.2,9689,16990
Micromax X412,32 MB,32 MB,8000,698,3.9,19990,738
Kechaoda K28,32 MB,64 MB,1417,129,4.1,5999,1080
GFive U220+,32 MB,32 MB,3080,393,3.5,5999,650
GREENBERRI F1,64 MB,64 MB,119,9,4.1,13999,1399
GREENBERRI F1,64 MB,64 MB,119,9,4.1,970,1399
GREENBERRI F1,64 MB,64 MB,119,9,4.1,919,1399
"Redmi 9i (Sea Blue, 128 GB)",4 GB,128 GB,224446,12759,4.3,,10999
"Redmi Note 8 Pro (Shadow Black, 128 GB)",8 GB,128 GB,11931,1041,4.4,,19999
"OPPO A15 (Rainbow Silver, 32 GB)",2 GB,32 GB,74,6,4,,9449
"ViVO S1 (Skyline Blue, 128 GB)",4 GB,128 GB,11590,842,4.5,,16990
UiSmart Ui-06,512 MB,256 MB,340,22,3.8,,1390
UiSmart Ui-06,512 MB,256 MB,340,22,3.8,,1390
"Itel A25 Pro (Gradation Green, 32 GB)",2 GB,32 GB,328,33,4,,4999
"Itel A25 Pro (Gradation Purple, 32 GB)",2 GB,32 GB,328,33,4,,4999
LAVA A1200,32 MB,24 MB,1933,232,4.2,,1277
"SAMSUNG Galaxy A12 (Blue, 64 GB)",4 GB,64 GB,363,31,4.2,,12999
KARBONN K9 POWER,24 MB,32 MB,61,0,4,,959
Grabo NORD,64 MB,64 MB,848,85,3.8,,849
Grabo NORD,64 MB,64 MB,848,85,3.8,919,849
LAVA A1 super,4 MB,3 MB,1161,87,4.1,1099,1039
LAVA A9,24 MB,32 MB,2139,231,4.1,769,1589
I Kall K130 New,32 MB,64 MB,5841,541,3.4,819,719
I Kall K 48,32 MB,64 MB,3555,308,3.7,11643,749
Micromax X421,32 MB,32 MB,1378,122,4,898,945
"Redmi 8A Dual (Midnight Grey, 32 GB)",2 GB,32 GB,43208,3267,4.3,679,8499
"SAMSUNG Galaxy M11 (Metallic Blue, 64 GB)",4 GB,64 GB,6291,511,4.2,1354,11195
Kechaoda A27,32 MB,32 MB,2921,262,4.1,8800,889
GFive A1,32 MB,32 MB,209,18,3.7,1099,659
KARBONN KX5,32 MB,32 MB,225,21,4,7999,995
Nokia 105 DS,4 MB,4 MB,16484,1725,4.2,54900,1299
"Coolpad Mega 5S (Gold, 64 GB)",4 GB,64 GB,192,11,3.4,1187,6499
Itel Magic2 Max,8 MB,8 MB,113,10,4.1,679,1449
"Redmi 8A Dual (Sea Blue, 64 GB)",3 GB,64 GB,12901,866,4.2,1749,8699
Kechaoda K33,32 MB,32 MB,4311,339,4.1,22990,969
"Redmi 6A (Gold, 16 GB)",2 GB,16 GB,53920,3724,4.3,,6999
"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)",,256 GB,93231,7967,4.5,,44999
MU M5000,32 MB,32 MB,227,36,3.9,,1099
"Redmi Note 9 Pro Max (Aurora Blue, 64 GB)",6 GB,64 GB,23474,1899,4.4,,16890
GFive U229,32 MB,32 MB,2540,338,3.7,,655
"SAMSUNG M31s (Mirage Blue, 128 GB)",8 GB,128 GB,144,8,4.2,,21630
LAVA A7 2020,24 MB,32 MB,579,56,4,,1391
"ViVO S1 (Diamond Black, 128 GB)",6 GB,128 GB,2584,193,4.4,,19990
"APPLE iPhone SE (Black, 64 GB)",,64 GB,93164,7966,4.5,39900,29999
"Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)",,64 GB,93164,7966,4.5,39900,29999
"Panasonic ELUGA I6 (Black, 16 GB)",2 GB,16 GB,8353,867,3.7,27999,5001
"Mi 10i (Pacific Sunrise, 128 GB)",8 GB,128 GB,253,21,4.4,13999,26989
"Nokia 3.4 (Dusk, 64 GB)",4 GB,64 GB,44,5,4.1,29999,11999
Jivi 12M-XL,1 MB,16 MB,11,1,3.5,27990,949
"SAMSUNG Galaxy A51 (Prism Crush Black, 128 GB)",8 GB,128 GB,3071,293,4.3,829,22499
"ViVO V20 (Sunset Melody, 128 GB)",8 GB,128 GB,20868,2341,4.3,1449,24990
I Kall K 48,32 MB,64 MB,3553,308,3.7,5999,749
I Kall K3312 Combo,32 MB,64 MB,1852,156,3.6,7999,1399
BlackZone Hammer,,Expandable Upto 8 GB4.57 cm (1.8 inch) Display0.3MP Rear Camera1000 mAh Battery6 Months Waranty,66,13,3.2,19999,619
"SAMSUNG Galaxy M40 (Midnight Blue, 128 GB)",6 GB,128 GB,1150,77,4.2,9999,16999
BlackZone ECO X,64 MB,64 MB,466,44,3.8,,1470
Kechaoda K66 Plus,32 MB,32 MB,19430,1646,4,,1199
"OPPO A15 (Mystery Blue, 32 GB)",2 GB,32 GB,74,6,4,,9438
LAVA A1200,32 MB,24 MB,1931,232,4.2,,1151
"realme X (Onion, 128 GB)",8 GB,128 GB,43139,5224,4.5,,20999
PHILIPS E102A,32 MB,32 MB,49,11,3.8,,1093
"Itel A25 Pro (Gradation Blue, 32 GB)",2 GB,32 GB,328,33,4,,4999
"Redmi 9A (Sea Blue, 32 GB)",3 GB,32 GB,3715,227,4.3,,7990
"APPLE iPhone 12 (White, 256 GB)",,256 GB,1891,169,4.7,,94900
Micromax X1i-2017,,32 MB,1185,139,3.9,,999
"POCO X2 (Phoenix Red, 128 GB)",6 GB,128 GB,255202,27867,4.5,,15999
"SAMSUNG M02s (Black, 32 GB)",3 GB,32 GB,86,2,4.1,,9265
PHILIPS E102A,32 MB,32 MB,49,11,3.8,7999,1093
"Redmi 9A (Sea Blue, 32 GB)",3 GB,32 GB,3725,227,4.3,19999,7990
"APPLE iPhone 12 (White, 256 GB)",,256 GB,1894,169,4.7,9999,94900
Micromax X1i-2017,,32 MB,1186,139,3.9,1099,999
"POCO X2 (Phoenix Red, 128 GB)",6 GB,128 GB,255284,27873,4.5,10999,15999
"SAMSUNG M02s (Black, 32 GB)",3 GB,32 GB,89,3,4.1,12999,9265
Kechaoda K33,32 MB,32 MB,4311,339,4.1,11999,969
"realme 3 (Black, 32 GB)",3 GB,32 GB,451638,44037,4.5,1099,8499
"realme 3 (Black, 64 GB)",4 GB,64 GB,171675,16639,4.4,9999,10499
"realme 3 (Dynamic Black, 64 GB)",3 GB,64 GB,451638,44037,4.5,11499,9499
I Kall K444,64 MB,64MB,599,47,3.7,599,999
Itel ACE,32 MB,32 MB,198,14,4,10990,748
"MOTOROLA E7 Power (Coral Red, 32 GB)",2 GB,32 GB,109,10,4.2,2099,7499
"Nokia 2.4 (Dusk Purple, 64 GB)",3 GB,64 GB,442,46,4.1,1420,10399
Forme N1,32 MB,32 MB,10354,1644,3.6,17999,539
"SAMSUNG M02s (Red, 64 GB)",4 GB,64 GB,156,12,4.1,15999,10849
LAVA Gem Wave / GEM,32 MB,32 MB,919,105,4.2,18999,1499
BlackZone PORSCHE 911,64 MB,64 MB,168,8,3.8,35999,1350
"realme 5 Pro (Sparkling Blue, 128 GB)",8 GB,128 GB,79579,7821,4.5,18999,16999
"realme 5 Pro (Chroma White, 64 GB)",6 GB,64 GB,114628,11102,4.5,,14999
"SAMSUNG Galaxy A21s (Black, 128 GB)",6 GB,128 GB,6204,577,4.2,,17499
"Honor 20 (Midnight Black, 128 GB)",6 GB,128 GB,2559,393,4.4,,22999
"SAMSUNG Galaxy A21s (Silver, 128 GB)",6 GB,128 GB,6204,577,4.2,,17499
KARBONN K-Pebble,12 MB,12 MB,1197,153,4,,1375
"POCO X2 (Phoenix Red, 64 GB)",6 GB,64 GB,255284,27873,4.5,18999,14999
"Mi 10i (Midnight Black, 128 GB)",8 GB,128 GB,255,21,4.4,25888,25210
"OPPO A5s (Black, 32 GB)",2 GB,32 GB,32370,2424,4.3,12990,8990
"SAMSUNG Galaxy A51 (Haze Crush Silver, 128 GB)",6 GB,128 GB,8719,1039,4.3,25999,20999
Grabo ELUGA,64 MB,64 MB,707,58,3.8,779,709
Kechaoda K6,32 MB,64 MB,487,43,3.9,990,857
"APPLE iPhone 12 (Blue, 128 GB)",,128 GB,1894,169,4.7,990,84900
KARBONN KX1i,32 MB,32 MB,104,3,4,990,780
KARBONN KX1i,32 MB,32 MB,104,3,4,106600,780
KARBONN KX1i,32 MB,32 MB,104,3,4,11999,780
Snexian Rock,32 MB,32 MB,8525,573,4,999,1285
KARBONN KX1,32 MB,32 MB,1008,84,3.9,6299,825
"APPLE iPhone 11 Pro (Midnight Green, 64 GB)",,64 GB,6992,514,4.6,1049,79999
"SAMSUNG Galaxy A10s (Black, 32 GB)",3 GB,32 GB,2222,178,4.3,29999,10899
"Tecno Spark Power 2 (Ice Jadeite, 64 GB)",4 GB,64 GB,67623,8034,4.3,1349,9999
Kechaoda K-55 Plus,512 MB,32 MB,8069,746,4,1349,899
GFive A2 Combo of Two,32 MB,32 MB,313,30,3.7,,1259
GFive A2 Combo of Two,32 MB,32 MB,313,30,3.7,,1259
"Itel A48 (Gradation Green, 32 GB)",2 GB,32 GB,195,16,3.8,,5980
Kechaoda K111,32 MB,32 MB,243,14,4,,999
"SAMSUNG Galaxy A51 (Prism Crush Blue, 128 GB)",8 GB,128 GB,3073,294,4.3,,22499
Kechaoda K20,32 MB,32 MB,53,4,4,,1049
Kechaoda K20,32 MB,32 MB,53,4,4,,1049
KXD P2,32 MB,32 MB,22,3,3.6,,925
"SAMSUNG Galaxy A71 (Haze Crush Silver, 128 GB)",8 GB,128 GB,5811,724,4.4,34999,29499
DETEL D1 Guru,32 MB,32 MB,7580,739,3.6,775,765
KARBONN KX26,32 MB,32 MB,1912,189,3.9,1149,1120
"OPPO A15 (Mystery Blue, 32 GB)",3 GB,32 GB,204,10,4.3,9990,9443
"OPPO A15 (Dynamic Black, 32 GB)",2 GB,32 GB,74,6,4,9490,7687
Jio JIOPHONE,512 MB,4 GB,29,1,4.4,1199,1999
"Redmi Note 8 Pro (Shadow Black, 128 GB)",6 GB,128 GB,80619,6974,4.4,1299,17999
Kechaoda K1,32 MB,32 MB,101,9,4,44900,1099
Kechaoda K1,32 MB,32 MB,101,9,4,8999,1099
GFive A1 & A2 Combo of Two Mobiles,32 MB,32 MB,50,2,3.7,26405,1379
"APPLE iPhone 12 (Black, 128 GB)",,128 GB,1894,169,4.7,769,84900
"Apple iPhone SE (White, 128 GB) (Includes EarPods, Power Adapter)",,128 GB,93231,7967,4.5,39900,34999
Good One Magic,32 MB,32 MB,2037,175,4,,1499
Good One Magic,32 MB,32 MB,2037,175,4,,1499
"Redmi 8A (Midnight Black, 32 GB)",3 GB,32 GB,134978,10567,4.3,,7499
I Kall K3312,32 MB,64 MB,10956,1094,3.5,,1499
"SAMSUNG Galaxy M51 (Celestial Black, 128 GB)",8 GB,128 GB,277,23,4.3,,25450
I Kall K2180,32 MB,32 MB,11149,1251,3.7,,699
Ssky S-20 Eco,32 MB,64 MB,23,1,3.8,,749
Itel it2161,32 MB,32 MB,274,14,4,,840
"OPPO A5s (Blue, 32 GB)",3 GB,32 GB,4478,352,4.4,,10590
"APPLE iPhone SE (White, 64 GB)",,64 GB,93231,7967,4.5,,29999
KARBONN KX23,32 MB,32 MB,1383,110,4,,1098
KARBONN Kx23,20 MB,32 MB,200,14,3.7,,1095
Snexian guru 5500,32 MB,32 MB,198,17,3.9,9985,899
Kechaoda K35,32 MB,32 MB,3518,316,3.9,19999,1389
KARBONN K-Stylo,12 MB,32 MB,89,3,4.1,1999,1071
"SAMSUNG M02s (Red, 32 GB)",3 GB,32 GB,255284,27873,4.5,1420,9710
"POCO X2 (Matrix Purple, 128 GB)",6 GB,128 GB,143,15,3.5,940,15999
BlackBear A1 Pen Phone,64 MB,32 MB,168,8,3.8,779,1899
BlackZone PORSCHE 911,64 MB,64 MB,392,22,4.3,29999,1350
MU M370,32 MB,32 MB,57,4,3.5,759,935
BlackZone Shine,10 MB,10 MB,707,58,3.8,20999,599
Grabo ELUGA,64 MB,64 MB,6452,1042,4.3,11999,709
"SAMSUNG Galaxy F62 (Laser Green, 128 GB)",6 GB,128 GB,279,14,4.3,7999,23999
"Tecno Spark 5 Pro (Ice Jadeite, 64 GB)",4 GB,64 GB,80,7,3.9,1749,10155
GFive i2,32 MB,32 MB,23474,1899,4.4,999,749
"Redmi Note 9 Pro Max (Glacier White, 128 GB)",6 GB,128 GB,67623,8034,4.3,,18499
"Tecno Spark Power 2 (Misty Grey, 64 GB)",4 GB,64 GB,118,11,4.2,,9999
"SAMSUNG Galaxy M02 (Red, 32 GB)",2 GB,32 GB,33,3,3.8,,7563
GFive A2 & U873 Combo of Two Mobiles,32 MB,32 MB,43145,5224,4.5,,1257
"realme X (Super Polar White, 128 GB)",8 GB,128 GB,43145,5224,4.5,,21999
"realme X (Garlic, 128 GB)",8 GB,128 GB,1381,147,4.1,,20999
Kechaoda K9,32 MB,64 MB,579,56,4,,1120
LAVA A7 2020,24 MB,32 MB,89,9,3.7,,1391
Tork X9,32 MB,32 MB,3897,456,3.7,,1198
I Kall K50,32 MB,64 MB,1894,169,4.7,,949
"APPLE iPhone 12 (Green, 128 GB)",,128 GB,,,4.5,,84900
Jio F320B,512 MB,4 GB,78,4,4,2090,1999
"SAMSUNG Galaxy A51 (Haze Crush Silver, 128 GB)",8 GB,128 GB,3073,294,4.3,29999,22499
Micromax X756,32 MB,32 MB,3148,346,3.9,1499,1599
KARBONN KX23,20 MB,20 MB,200,14,3.7,1199,1019
Forme Duos N2,32 MB,32 MB,104,10,3.8,1049,699
"APPLE iPhone 12 Pro (Gold, 128 GB)",,128 GB,514,40,4.5,10257,119900
GreenBerry M2 Mini,32 MB,32 MB,31,11,4.3,1490,1399
UiSmart Ui06,512 MB,32 MB,9,0,3.1,9385,1390
Tork T19 Shine,32 MB,32 MB,110,13,3.9,19990,1349
Nokia 225,8 MB,32 GB,6587,511,4,19990,3499
Kechaoda K60,32 MB,32 MB,1089,107,4,15999,1490
Kechaoda A29,32 MB,32 MB,20,1,4.1,,975
Kechaoda A29,32 MB,32 MB,20,1,4.1,,975
"OPPO A15 (Rainbow Silver, 32 GB)",3 GB,32 GB,204,10,4.3,,9965
"realme X2 (Pearl Green, 128 GB)",8 GB,128 GB,44921,5192,4.5,,20999
KARBONN K Phone 1,32 MB,32 MB,208,29,3.8,,1149
Jivi X57i Selfie,0.032 MB,,150,18,3.8,,699
MTR Ferrari,64 MB,64 MB,3965,294,4.1,,1199
MTR Ferrari,64 MB,64 MB,3965,294,4.1,,1199
MTR Ferrari,64 MB,64 MB,3965,294,4.1,,1199
"SAMSUNG Galaxy M01s  (Light Blue, 32 GB)",3 GB,32 GB,469,24,4.2,,9319
"OPPO Reno2 F (Lake Green, 256 GB)",6 GB,256 GB,73999,6737,4.4,,17990
"OPPO Reno2 F (Sky White, 256 GB)",6 GB,256 GB,73999,6737,4.4,,17990
"realme 5 Pro (Sparkling Blue, 64 GB)",6 GB,64 GB,114628,11102,4.5,,14999
